MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Čestlice,Praha-východ,Čestlicích,"50.00258694,14.58367765"
Praskačka,Hradec Králové,Praskačce,"50.17291537,15.74276996"
Roudnice,Hradec Králové,Roudnici,"50.17620920,15.65177204"
Sendražice,Hradec Králové,Sendražicích,"50.28989665,15.79604789"
Skalice,Hradec Králové,Skalici,"50.27641260,15.87210755"
Dalovice,Mladá Boleslav,Dalovicích,"50.42575095,14.88002267"
Vinec,Mladá Boleslav,Vinci,"50.39467761,14.86988088"
Smidary,Hradec Králové,Smidarech,"50.29150662,15.47732936"
Smržov,Hradec Králové,Smržově,"50.29978766,15.91791692"
Obrubce,Mladá Boleslav,Obrubcích,"50.44791778,15.06370285"
Sovětice,Hradec Králové,Sověticích,"50.30749798,15.70583230"
Přepeře,Mladá Boleslav,Přepeřích,"50.46768223,15.10197637"
Syrovátka,Hradec Králové,Syrovátce,"50.15480590,15.66280468"
Šaplava,Hradec Králové,Šaplavě,"50.31509156,15.54203302"
Kluky,Mladá Boleslav,Klukách,"50.44028158,14.72527726"
Vinary,Hradec Králové,Vinarech,"50.28955993,15.42893692"
Niměřice,Mladá Boleslav,Niměřicích,"50.39584418,14.80852748"
Rokytovec,Mladá Boleslav,Rokytovci,"50.40659128,14.83076595"
Chrudim,Chrudim,Chrudimi,"49.95113628,15.79563579"
Kobylnice,Mladá Boleslav,Kobylnicích,"50.37169737,15.05394137"
Bratřínov,Praha-západ,Bratřínově,"49.84265601,14.34019303"
Bojanov,Chrudim,Bojanově,"49.84136085,15.70493415"
Bousov,Chrudim,Bousově,"49.90179880,15.53548226"
Ctětín,Chrudim,Ctětíně,"49.83029855,15.83947230"
Čankovice,Chrudim,Čankovicích,"49.96374580,15.93735101"
Dědová,Chrudim,Dědové,"49.76114343,15.98651288"
Úholičky,Praha-západ,Úholičkách,"50.16143452,14.33531659"
Tisovec,Chrudim,Tisovci,"49.82442123,15.91460700"
Tuněchody,Chrudim,Tuněchodech,"49.97890547,15.84129708"
Nová Ves u Jarošova,Svitavy,Nové Vsi u Jarošova,"49.83757348,16.15995680"
Vinary,Ústí nad Orlicí,Vinarech,"49.95914569,16.06033641"
Vortová,Chrudim,Vortové,"49.71308419,15.93628215"
Kukle,Svitavy,Kukli,"49.79313676,16.42565330"
Nová Sídla,Svitavy,Nových Sídlech,"49.88395803,16.23723859"
Tržek,Svitavy,Tržku,"49.88626940,16.25999719"
Žumberk,Chrudim,Žumberku; Žumberce,"49.87275066,15.85827161"
Chmelík,Svitavy,Chmelíku,"49.77342079,16.33282665"
Bystřice,Jičín,Bystřici,"50.39293879,15.24419846"
Dětenice,Jičín,Dětenicích,"50.36813676,15.17060579"
Dobrá Voda u Hořic,Jičín,Dobré Vodě u Hořic,"50.34804408,15.60265100"
Lány u Dašic,Pardubice,Lánech u Dašic,"50.04356450,15.88914752"
Černá u Bohdanče,Pardubice,Černé u Bohdanče,"50.05607701,15.67189725"
Holín,Jičín,Holíně,"50.45165948,15.32078973"
Jičíněves,Jičín,Jičíněvsi,"50.37313009,15.33737102"
Sovolusky,Pardubice,Sovoluskách,"49.96929739,15.53725691"
Kněžnice,Jičín,Kněžnicích,"50.49323970,15.32253346"
Oldřichov v Hájích,Liberec,Oldřichově v Hájích,"50.84968942,15.08378036"
Příšovice,Liberec,Příšovicích,"50.57819009,15.08399498"
Raspenava,Liberec,Raspenavě,"50.90421105,15.11476382"
Světlá pod Ještědem,Liberec,Světlé pod Ještědem,"50.71130348,14.98600143"
Narysov,Příbram,Narysově,"49.64093709,13.97092761"
Nepomuk,Příbram,Nepomuku,"49.64287948,13.83730773"
Všelibice,Liberec,Všelibicích,"50.64611052,14.95148322"
Kněžice,Chrudim,Kněžicích,"49.86185559,15.52742563"
Hejtmánkovice,Náchod,Hejtmánkovicích,"50.59928475,16.29953456"
Hronov,Náchod,Hronově,"50.47971691,16.18239310"
Jasenná,Náchod,Jasenné,"50.31831903,15.99105524"
Jetřichov,Náchod,Jetřichově,"50.61500425,16.26675427"
Spojil,Pardubice,Spojilu; Spojile,"50.04209310,15.82198097"
Evaň,Litoměřice,Evani,"50.38413441,14.02896762"
Zadní Chodov,Tachov,Zadním Chodově,"49.89060848,12.65461647"
Suchodol,Příbram,Suchodole; Suchodolu,"49.72412826,14.08246641"
Tochovice,Příbram,Tochovicích,"49.59557158,13.99244395"
Svojkov,Česká Lípa,Svojkově,"50.71954222,14.59912377"
Horní Radouň,Jindřichův Hradec,Horní Radouni,"49.25714146,15.00574915"
Míšov,Plzeň-jih,Míšově,"49.61981230,13.72832615"
Hospříz,Jindřichův Hradec,Hospřízi,"49.12862353,15.08554117"
Jarošov nad Nežárkou,Jindřichův Hradec,Jarošově nad Nežárkou,"49.18995550,15.06735684"
Loučná pod Klínovcem,Chomutov,Loučné pod Klínovcem,"50.41868495,12.98157760"
Kardašova Řečice,Jindřichův Hradec,Kardašově Řečici,"49.18484697,14.85317403"
Kunžak,Jindřichův Hradec,Kunžaku,"49.12124885,15.19029903"
Janův Důl,Liberec,Janově Dole; Janově Dolu,"50.70461606,14.94040461"
Sedlec,Litoměřice,Sedlci,"50.45014561,14.01638283"
Horní Řepčice,Litoměřice,Horních Řepčicích,"50.55680800,14.25240325"
Staňkovice,Litoměřice,Staňkovicích,"50.58947947,14.16712054"
Brodec,Louny,Brodci,"50.29500919,13.80169825"
Pluhův Žďár,Jindřichův Hradec,Pluhově Žďáru; Pluhově Žďáře,"49.22395932,14.89272237"
Střeň,Olomouc,Střeni,"49.69153406,17.15385838"
Kbel,Plzeň-jih,Kbelu,"49.49380870,13.36563494"
Hlinsko,Chrudim,Hlinsku,"49.76217298,15.90760568"
Holetín,Chrudim,Holetíně,"49.80219677,15.92690371"
Honbice,Chrudim,Honbicích,"49.93350391,15.89304665"
Hrochův Týnec,Chrudim,Hrochově Týnci,"49.95950493,15.91060298"
Neprobylice,Kladno,Neprobylicích,"50.26403444,14.02769119"
Chrast,Chrudim,Chrasti,"49.90209061,15.93401933"
Chroustovice,Chrudim,Chroustovicích,"49.95556516,15.99149123"
Líský,Kladno,Líském,"50.25064335,13.92900758"
Zájezd,Kladno,Zájezdě; Zájezdu,"50.16605707,14.22057638"
Štíhlice,Praha-východ,Štíhlicích,"50.00563155,14.78001018"
Leštinka,Chrudim,Leštince,"49.84525032,15.95894189"
Hošťálková,Vsetín,Hošťálkové,"49.35467196,17.86945861"
Choryně,Vsetín,Choryni,"49.49574313,17.89864049"
Kunovice,Vsetín,Kunovicích,"49.44424210,17.80990730"
Pavlíkov,Rakovník,Pavlíkově,"50.05608031,13.73643097"
Dívčice,České Budějovice,Dívčicích,"49.10871008,14.30931436"
Kopidlno,Jičín,Kopidlně,"50.33090611,15.27037625"
Neratov,Pardubice,Neratově,"50.07981594,15.64723787"
Libošovice,Jičín,Libošovicích,"50.49062576,15.16289771"
Starý Bydžov,Hradec Králové,Starém Bydžově,"50.25849196,15.45240640"
Markvartice,Jičín,Markvarticích,"50.43082429,15.19615651"
Zelenecká Lhota,Jičín,Zelenecké Lhotě,"50.40165949,15.17884147"
Mlázovice,Jičín,Mlázovicích,"50.41191326,15.52169348"
Rohoznice,Jičín,Rohoznici,"50.39162818,15.69963792"
Nemyčeves,Jičín,Nemyčevsi,"50.38448736,15.37010539"
Osek,Jičín,Oseku,"50.46390390,15.15960200"
Ostroměř,Jičín,Ostroměři,"50.37250553,15.54957190"
Ostružno,Jičín,Ostružně; Ostružnu,"50.44335161,15.28971625"
Podhorní Újezd a Vojice,Jičín,Podhorním Újezdě/Újezdu a Vojicích,"50.38891839,15.52101822"
Podhradí,Jičín,Podhradí,"50.41852628,15.31061327"
Podůlší,Jičín,Podůlší,"50.46902218,15.34056102"
Soběraz,Jičín,Soběrazi,"50.46341692,15.40207752"
Litoboř,Náchod,Litoboři,"50.44990077,16.01535049"
Anenská Studánka,Ústí nad Orlicí,Anenské Studánce,"49.84978456,16.54027697"
Sběř,Jičín,Sběři,"50.32017701,15.42445557"
Puchlovice,Hradec Králové,Puchlovicích,"50.18586377,15.62638529"
Střevač,Jičín,Střevači,"50.40441312,15.27456723"
Boňkov,Havlíčkův Brod,Boňkově,"49.54710181,15.44750748"
Valdice,Jičín,Valdicích,"50.45506550,15.38497241"
Vršce,Jičín,Vršcích,"50.32390573,15.32313092"
Židovice,Jičín,Židovicích,"50.29542313,15.32058436"
Prostiboř,Tachov,Prostiboři,"49.65389194,12.89888183"
Voznice,Příbram,Voznici; Voznicích,"49.81723000,14.21659932"
Vysoká u Příbramě,Příbram,Vysoké u Příbramě,"49.63430277,13.94843645"
Vysoký Chlumec,Příbram,Vysokém Chlumci,"49.61773073,14.38980630"
Rakovník,Rakovník,Rakovníce; Rakovníku,"50.10379279,13.73347275"
Myslovice,Klatovy,Myslovicích,"49.40689568,13.38707299"
Ježovy,Klatovy,Ježovech,"49.49115854,13.22843490"
Hřebečníky,Rakovník,Hřebečníkách,"49.98462867,13.75328950"
Obora,Blansko,Oboře,"49.45223827,16.60565017"
Ochoz u Tišnova,Brno-venkov,Ochozu u Tišnova; Ochoze u Tišnova,"49.42562478,16.39426182"
Osiky,Brno-venkov,Osikách,"49.45622534,16.42161304"
Rájec-Jestřebí,Blansko,Rájci-Jestřebí,"49.41096742,16.63904672"
Rozsíčka,Blansko,Rozsíčce,"49.55231254,16.46702051"
Strhaře,Brno-venkov,Strhařích,"49.43564504,16.43632513"
Újezd u Černé Hory,Blansko,Újezdě u Černé Hory; Újezdu u Černé Hory,"49.36857267,16.54103853"
Kramolín,Plzeň-jih,Kramolíně,"49.44617243,13.57699500"
Letiny,Plzeň-jih,Letinách; Letinech,"49.53999542,13.45532522"
Merklín,Plzeň-jih,Merklíně,"49.56053442,13.19794248"
Mileč,Plzeň-jih,Milči,"49.46958667,13.60440595"
Mohelnice,Plzeň-jih,Mohelnici,"49.48087813,13.64173043"
Netunice,Plzeň-jih,Netunicích,"49.61646521,13.43062736"
Neurazy,Plzeň-jih,Neurazech,"49.44108934,13.51561243"
Ptenín,Plzeň-jih,Pteníně,"49.53160369,13.18499296"
Roupov,Plzeň-jih,Roupově,"49.53865130,13.24895306"
Řenče,Plzeň-jih,Řenčích,"49.57996425,13.41453635"
Seč,Plzeň-jih,Seči,"49.58806599,13.50493558"
Soběkury,Plzeň-jih,Soběkurech,"49.57629035,13.23908477"
Starý Plzenec,Plzeň-město,Starém Plzenci,"49.69777698,13.47355249"
Bukovice,Náchod,Bukovici,"50.54958106,16.22802554"
Černovice,Pelhřimov,Černovicích,"49.37271936,14.96091895"
Červená Řečice,Pelhřimov,Červené Řečici,"49.51129159,15.17840134"
Vyžice,Chrudim,Vyžicích,"49.92322317,15.62112473"
Zájezdec,Chrudim,Zájezdci,"49.93169705,15.92689503"
Hojanovice,Pelhřimov,Hojanovicích,"49.59731382,15.26555290"
Hořepník,Pelhřimov,Hořepníku; Hořepníce,"49.51281817,15.10599906"
Sobkovice,Ústí nad Orlicí,Sobkovicích,"50.04793508,16.59504405"
Bošín,Ústí nad Orlicí,Bošíně,"50.03416869,16.20302741"
Dlouhoňovice,Ústí nad Orlicí,Dlouhoňovicích,"50.07022634,16.44160521"
Vrchovnice,Hradec Králové,Vrchovnici,"50.32297743,15.75760277"
Ježov,Pelhřimov,Ježově,"49.61308373,15.23375803"
Paseky,Písek,Pasekách,"49.25171718,14.25484209"
Třebětice,Jindřichův Hradec,Třeběticích,"49.04769276,15.52072918"
Lhota Rapotina,Blansko,Lhotě Rapotině,"49.46607293,16.62487868"
Lubě,Blansko,Lubi,"49.39620261,16.52598935"
Němčice,Blansko,Němčicích,"49.44998961,16.71798078"
Libavské Údolí,Sokolov,Libavském Údolí,"50.12898581,12.55256162"
Staré Sedlo,Sokolov,Starém Sedle,"50.18181169,12.71990404"
Stříbrná,Sokolov,Stříbrné,"50.35677330,12.52648894"
Šindelová,Sokolov,Šindelové,"50.31876978,12.60340773"
Český Jiřetín,Most,Českém Jiřetíně,"50.70757638,13.54748207"
Havraň,Most,Havrani,"50.45013654,13.59886154"
Lišnice,Most,Lišnici,"50.45453851,13.63310012"
Louka u Litvínova,Most,Louce u Litvínova,"50.58795310,13.63657886"
Malé Březno,Most,Malém Březně,"50.46258208,13.56028842"
Obrnice,Most,Obrnicích,"50.50506836,13.69549395"
Polerady,Most,Poleradech,"50.44453035,13.65277490"
Kyjovice,Opava,Kyjovicích,"49.83233849,18.04216578"
Chlebičov,Opava,Chlebičově,"49.95941254,17.96753643"
Citov,Přerov,Citově,"49.46772940,17.32548234"
Třebohostice,Strakonice,Třebohosticích,"49.33262431,13.86102165"
Uzenice,Strakonice,Uzenicích,"49.47333624,13.95987612"
Ludvíkov,Bruntál,Ludvíkově,"50.10744156,17.34231032"
Štarnov,Olomouc,Štarnově,"49.68614405,17.27262060"
Bílsko,Olomouc,Bílsku,"49.64457819,17.01970912"
Dubčany,Olomouc,Dubčanech,"49.64923447,17.07885866"
Skrbeň,Olomouc,Skrbeni,"49.64116167,17.17653726"
Haňovice,Olomouc,Haňovicích,"49.68107240,17.04508726"
Červenka,Olomouc,Července,"49.71880515,17.08374532"
Kratonohy,Hradec Králové,Kratonohách,"50.16919119,15.60698596"
Libčany,Hradec Králové,Libčanech,"50.19179803,15.69497601"
Libníkovice,Hradec Králové,Libníkovicích,"50.24420795,15.99621254"
Lodín,Hradec Králové,Lodíně,"50.27089996,15.61052655"
Třesovice,Hradec Králové,Třesovicích,"50.26512424,15.68895519"
Výrava,Hradec Králové,Výravě,"50.26967981,15.97902496"
Nemyslovice,Mladá Boleslav,Nemyslovicích,"50.35851453,14.76390827"
České Lhotice,Chrudim,Českých Lhoticích,"49.84698098,15.77788721"
Lichoceves,Praha-západ,Lichocevsi,"50.15283795,14.28431949"
Zichovec,Kladno,Zichovci,"50.27114110,13.92610804"
Hošťalovice,Chrudim,Hošťalovicích,"49.93485037,15.57598509"
Hroubovice,Chrudim,Hroubovicích,"49.88257232,15.99077830"
Jenišovice,Chrudim,Jenišovicích,"49.92958355,16.03107371"
Lom u Tachova,Tachov,Lomu u Tachova; Lomě u Tachova,"49.81877761,12.69264804"
Hořesedly,Rakovník,Hořesedlech; Hořesedlích,"50.16237859,13.60273479"
Hředle,Rakovník,Hředlích,"50.18809152,13.74949169"
Olomučany,Blansko,Olomučanech,"49.33089522,16.67170786"
Pamětice,Blansko,Paměticích,"49.54948912,16.64452326"
Ráječko,Blansko,Ráječku,"49.39395737,16.64499787"
Rohozec,Brno-venkov,Rohozci,"49.39034479,16.48287301"
Senetářov,Blansko,Senetářově,"49.35470366,16.80390796"
Skrchov,Blansko,Skrchově,"49.57775833,16.54939566"
Suchý,Blansko,Suchém,"49.48281844,16.76240820"
Sulíkov,Blansko,Sulíkově,"49.54462080,16.48964604"
Synalov,Brno-venkov,Synalově,"49.43276178,16.41389735"
Keblice,Litoměřice,Keblicích,"50.48012705,14.10189764"
Lhánice,Třebíč,Lhánicích,"49.10912821,16.22341563"
Litovany,Třebíč,Litovanech,"49.05499638,16.04393005"
Mastník,Třebíč,Mastníku,"49.18023768,15.82784687"
Mladoňovice,Třebíč,Mladoňovicích,"49.01017057,15.64363691"
Nové Syrovice,Třebíč,Nových Syrovicích,"49.01767657,15.77346108"
Verměřovice,Ústí nad Orlicí,Verměřovicích,"50.00551722,16.56261209"
Vraclav,Ústí nad Orlicí,Vraclavi,"49.96807679,16.09002881"
Výprachtice,Ústí nad Orlicí,Výprachticích,"49.98722749,16.66387300"
Adamov,Blansko,Adamově,"49.30052630,16.65857065"
Bořitov,Blansko,Bořitově,"49.42506251,16.59121354"
Brumov,Brno-venkov,Brumově,"49.46241526,16.42578179"
Černěves,Litoměřice,Černěvsi,"50.45447000,14.24319879"
Dobroměřice,Louny,Dobroměřicích,"50.37018091,13.79482085"
Vršovice,Louny,Vršovicích,"50.36856540,13.84209608"
Lukov,Teplice,Lukově,"50.52821005,13.88550457"
Okřešice,Třebíč,Okřešicích,"49.25942369,15.85199432"
Nová Pláň,Bruntál,Nové Pláni,"49.92191506,17.47514857"
Bílov,Nový Jičín,Bílově,"49.73406468,18.00164457"
Popelín,Jindřichův Hradec,Popelíně,"49.21364094,15.18393699"
Životice u Nového Jičína,Nový Jičín,Životicích u Nového Jičína,"49.55711679,18.04727385"
Samotišky,Olomouc,Samotiškách,"49.63043216,17.32810284"
Kozmice,Opava,Kozmicích,"49.91279085,18.15589283"
Libovice,Kladno,Libovici,"50.23568144,14.01642268"
Kočí,Chrudim,Kočí; Kočím,"49.94721972,15.85556899"
Němčice,Kolín,Němčicích,"50.08443739,15.29411050"
Krouna,Chrudim,Krouně,"49.77243773,16.02679068"
Leština,Ústí nad Orlicí,Leštině,"49.86769997,16.11784451"
Zavidov,Rakovník,Zavidově,"50.05678534,13.62036868"
Zbečno,Rakovník,Zbečně,"50.04188214,13.92042860"
Horní Bečva,Vsetín,Horní Bečvě,"49.43214800,18.28861301"
Hovězí,Vsetín,Hovězím,"49.30363815,18.06063975"
Hutisko-Solanec,Vsetín,Hutisku-Solanci,"49.43095614,18.21394944"
Jarcová,Vsetín,Jarcové,"49.44452374,17.96588691"
Šebetov,Blansko,Šebetově,"49.54864340,16.71165678"
Šebrov-Kateřina,Blansko,Šebrově-Kateřině,"49.32961759,16.59857426"
Uhřice,Blansko,Uhřicích,"49.59508829,16.73504227"
Unín,Brno-venkov,Uníně,"49.38220613,16.49137708"
Vilémovice,Blansko,Vilémovicích,"49.36380966,16.74675226"
Vísky,Blansko,Vískách,"49.53846144,16.62563974"
Vranová,Blansko,Vranové,"49.55406980,16.52478793"
Vysočany,Blansko,Vysočanech,"49.42886943,16.79961032"
Zbraslavec,Blansko,Zbraslavci,"49.48392768,16.52842161"
Babice u Rosic,Brno-venkov,Babicích u Rosic,"49.17301106,16.35818351"
Biskoupky,Brno-venkov,Biskoupkách,"49.09772420,16.28129285"
Březina,Brno-venkov,Březině,"49.28162201,16.74953661"
Bukovinka,Blansko,Bukovince,"49.29420207,16.80495367"
Býkovice,Blansko,Býkovicích,"49.43023140,16.53830864"
Deštná,Blansko,Deštné,"49.61258067,16.56359227"
Žim,Teplice,Žimu,"50.58504616,13.96535196"
Libouchec,Ústí nad Labem,Libouchci,"50.75862745,14.04082296"
Hať,Opava,Hati,"49.94642936,18.23936517"
Děhylov,Opava,Děhylově,"49.86937194,18.16337149"
Vřesina,Opava,Vřesině,"49.94579571,18.19010210"
Mikolajice,Opava,Mikolajicích,"49.87715748,17.79336806"
Telnice,Ústí nad Labem,Telnici,"50.73304241,13.95788646"
Tisá,Ústí nad Labem,Tisé,"50.78458167,14.03141297"
Lužany,Plzeň-jih,Lužanech,"49.54674673,13.31578098"
Nekvasovy,Plzeň-jih,Nekvasovech,"49.43465023,13.62578010"
Nezvěstice,Plzeň-město,Nezvěsticích,"49.64052596,13.51966597"
Příchovice,Plzeň-jih,Příchovicích,"49.56213215,13.33939509"
Čejov,Pelhřimov,Čejově,"49.56570421,15.37928810"
Vernéřovice,Náchod,Vernéřovicích,"50.61490721,16.22106396"
Adršpach,Náchod,Adršpachu,"50.61869261,16.10866500"
Rozhovice,Chrudim,Rozhovicích,"49.96722928,15.71357464"
Víska u Jevíčka,Svitavy,Vísce u Jevíčka,"49.65256513,16.70776983"
Malé Hradisko,Prostějov,Malém Hradisku,"49.49333435,16.87661463"
Žerotín,Louny,Žerotíně,"50.28631291,13.91218444"
Lačnov,Vsetín,Lačnově,"49.17877351,18.01650655"
Hruška,Prostějov,Hrušce,"49.35879500,17.22668472"
Leskovec,Vsetín,Leskovci,"49.28419565,17.99875996"
Borek,České Budějovice,Borku,"49.02346395,14.50089539"
Boršov nad Vltavou,České Budějovice,Boršově nad Vltavou,"48.92185732,14.43399891"
Proseč pod Ještědem,Liberec,Proseči pod Ještědem,"50.70172018,15.01713482"
Liptál,Vsetín,Liptále; Liptálu,"49.29050443,17.92178482"
Loučka,Vsetín,Loučce,"49.43868993,17.83267999"
Dynín,České Budějovice,Dyníně,"49.13727347,14.63121223"
Mikulůvka,Vsetín,Mikulůvce,"49.41351051,17.92508041"
Blučina,Brno-venkov,Blučině,"49.05499320,16.64450328"
Braníškov,Brno-venkov,Braníškově,"49.29440258,16.34567868"
Březina,Brno-venkov,Březině,"49.32126710,16.42144007"
Drásov,Brno-venkov,Drásově,"49.33186429,16.47800786"
Drahobudice,Kolín,Drahobudicích,"49.93753894,15.06631652"
Doksany,Litoměřice,Doksanech,"50.45496756,14.16122230"
Ves Touškov,Plzeň-jih,Vsi Touškově,"49.66170171,13.11927463"
Vrčeň,Plzeň-jih,Vrčeni,"49.50805296,13.61892095"
Zdemyslice,Plzeň-jih,Zdemyslicích,"49.60705014,13.51985906"
Bezvěrov,Plzeň-sever,Bezvěrově,"49.99511635,13.05906781"
Blatnice,Plzeň-sever,Blatnici,"49.71982117,13.15603848"
Břežany,Rakovník,Břežanech,"50.00694873,13.58285361"
Křešice,Litoměřice,Křešicích,"50.52266718,14.21459627"
Levín,Litoměřice,Levíně,"50.61390815,14.28400726"
Libotenice,Litoměřice,Libotenicích,"50.47699707,14.22933725"
Lovečkovice,Litoměřice,Lovečkovicích,"50.62165028,14.26324796"
Lovosice,Litoměřice,Lovosicích,"50.51512150,14.05112653"
Lukavec,Litoměřice,Lukavci,"50.50172290,14.08578786"
Mlékojedy,Litoměřice,Mlékojedech,"50.52697598,14.11931622"
Kouty,Třebíč,Koutech,"49.31477989,15.79271582"
Kramolín,Třebíč,Kramolíně,"49.13424179,16.13193743"
Albrechtice,Ústí nad Orlicí,Albrechticích,"49.92756897,16.64475233"
Dlouhá Třebová,Ústí nad Orlicí,Dlouhé Třebové,"49.94042919,16.42334987"
Helvíkovice,Ústí nad Orlicí,Helvíkovicích,"50.09224950,16.43101124"
Jiřice,Pelhřimov,Jiřicích,"49.55327496,15.31837500"
Kejžlice,Pelhřimov,Kejžlici,"49.59052795,15.39266489"
Moravice,Opava,Moravici,"49.85775334,17.72014576"
Třebom,Opava,Třebomi,"50.04613788,18.02533943"
Modlíkov,Havlíčkův Brod,Modlíkově,"49.60823188,15.77033750"
Císařov,Přerov,Císařově,"49.46604462,17.35263153"
Bohuslávky,Přerov,Bohuslávkách,"49.55516099,17.56781059"
Okrouhlice,Havlíčkův Brod,Okrouhlici,"49.62996476,15.49087146"
Dolní Nětčice,Přerov,Dolních Nětčicích,"49.47617628,17.67503969"
Kladníky,Přerov,Kladníkách,"49.48367716,17.60295429"
Jankov,České Budějovice,Jankově,"48.96652194,14.29789504"
Police,Vsetín,Polici,"49.45671772,17.86756955"
Bynovec,Děčín,Bynovci,"50.82090607,14.26428752"
Kamenný Újezd,České Budějovice,Kamenném Újezdě; Kamenném Újezdu,"48.89761006,14.44638710"
Prostřední Bečva,Vsetín,Prostřední Bečvě,"49.43608051,18.25201856"
Račiněves,Litoměřice,Račiněvsi,"50.37317716,14.21870551"
Václavy,Rakovník,Václavech,"50.06377919,13.59448089"
Lipník,Mladá Boleslav,Lipníce; Lipníku,"50.27260916,14.91250595"
Slatina,Litoměřice,Slatině,"50.43066185,14.03813588"
Sulejovice,Litoměřice,Sulejovicích,"50.49887035,14.03750361"
Travčice,Litoměřice,Travčicích,"50.50336488,14.18986244"
Vědomice,Litoměřice,Vědomicích,"50.43396476,14.25398922"
Druztová,Plzeň-sever,Druztové,"49.79750781,13.44877578"
Dýšina,Plzeň-město,Dýšině,"49.77744579,13.49155694"
Horní Bělá,Plzeň-sever,Horní Bělé,"49.88907596,13.26416887"
Hvozd,Plzeň-sever,Hvozdu; Hvozdě,"49.93983641,13.26318299"
Jarov,Plzeň-sever,Jarově,"49.87256014,13.47433815"
Kozolupy,Plzeň-sever,Kozolupech,"49.76389727,13.25215827"
Krsy,Plzeň-sever,Krsech,"49.92634687,13.05501452"
Běhařov,Klatovy,Běhařově,"49.34487741,13.16021531"
Kolešovice,Rakovník,Kolešovicích,"50.13973617,13.61035149"
Krušovice,Rakovník,Krušovicích,"50.17188555,13.77610096"
Rozstání,Svitavy,Rozstání,"49.73499104,16.72010378"
Rychnov na Moravě,Svitavy,Rychnově na Moravě,"49.82917011,16.64015989"
Sebranice,Svitavy,Sebranicích,"49.77142901,16.24922229"
Kočín,Plzeň-sever,Kočíně,"49.93047911,13.47620165"
Strakov,Svitavy,Strakově,"49.86653715,16.36686318"
Třebařov,Svitavy,Třebařově,"49.82971866,16.70256935"
Újezdec,Svitavy,Újezdci,"49.87779818,16.20598463"
Velečín,Plzeň-sever,Velečíně,"50.07440806,13.40167012"
Vysoká,Svitavy,Vysoké,"49.66363616,16.81013236"
Mešno,Rokycany,Mešně,"49.65590989,13.62199377"
Borovnice,Trutnov,Borovnici,"50.50920312,15.61728031"
Černý Důl,Trutnov,Černém Dole; Černém Dolu,"50.63500383,15.71069397"
Příkosice,Rokycany,Příkosicích,"49.66836479,13.66349835"
Dolní Olešnice,Trutnov,Dolní Olešnici,"50.52399032,15.71225746"
Horní Brusnice,Trutnov,Horní Brusnici,"50.47310824,15.68112450"
Horní Kalná,Trutnov,Horní Kalné,"50.56877116,15.61309893"
Vísky,Rokycany,Vískách,"49.65129104,13.68268875"
Choustníkovo Hradiště,Trutnov,Choustníkově Hradišti,"50.42645595,15.87866317"
Kocbeře,Trutnov,Kocbeřích,"50.45369980,15.85880591"
Ludmírov,Prostějov,Ludmírově,"49.64133841,16.87325313"
Mostkovice,Prostějov,Mostkovicích,"49.47216310,17.05214559"
Vřeskovice,Klatovy,Vřeskovicích,"49.52553988,13.27114896"
Dašice,Pardubice,Dašicích,"50.02848569,15.91250414"
Dolní Ředice,Pardubice,Dolních Ředicích,"50.07784758,15.92399531"
Horní Jelení,Pardubice,Horním Jelení,"50.04904713,16.08402859"
Choltice,Pardubice,Cholticích,"49.98777058,15.61947244"
Jankovice,Pardubice,Jankovicích,"50.00768570,15.52921814"
Jedousov,Pardubice,Jedousově,"49.99539962,15.61025280"
Jeníkovice,Pardubice,Jeníkovicích,"49.98154197,15.66057510"
Kasalice,Pardubice,Kasalicích,"50.11805387,15.60973304"
Mikulovice,Pardubice,Mikulovicích,"49.98947082,15.77544470"
Přepychy,Pardubice,Přepychách; Přepyších,"50.10640518,15.51995561"
Ráby,Pardubice,Rábech,"50.07282463,15.80258732"
Rokytno,Pardubice,Rokytně; Rokytnu,"50.10471507,15.88937190"
Sezemice,Pardubice,Sezemicích,"50.06654873,15.85276476"
Sopřeč,Pardubice,Sopřeči,"50.09365338,15.55678506"
Týnišťko,Ústí nad Orlicí,Týnišťku,"49.99890661,16.09717843"
Němčice nad Hanou,Prostějov,Němčicích nad Hanou,"49.34182735,17.20598596"
Pivín,Prostějov,Pivíně,"49.38469924,17.18484997"
Přemyslovice,Prostějov,Přemyslovicích,"49.55639133,16.95584271"
Rakůvka,Prostějov,Rakůvce,"49.60967498,16.93762451"
Rozstání,Prostějov,Rozstání,"49.39771661,16.84037567"
Stařechovice,Prostějov,Stařechovicích,"49.53290151,17.05375146"
Stínava,Prostějov,Stínavě,"49.49522765,16.93453569"
Šubířov,Prostějov,Šubířově,"49.60218657,16.81337562"
Vitčice,Prostějov,Vitčicích,"49.31185131,17.24087312"
Vranovice-Kelčice,Prostějov,Vranovicích-Kelčicích,"49.40362040,17.10028402"
Benetice,Třebíč,Beneticích,"49.29768153,15.86735594"
Bransouze,Třebíč,Bransouzích,"49.30260029,15.75197406"
Číhalín,Třebíč,Číhalíně,"49.26848988,15.81208103"
Hartvíkovice,Třebíč,Hartvíkovicích,"49.17113785,16.09034988"
Zlukov,Tábor,Zlukově,"49.19300074,14.74510582"
Komárov,Tábor,Komárově,"49.25013734,14.59404498"
Karlov,Žďár nad Sázavou,Karlově,"49.64704736,15.91447661"
